 1  1  4.582905696239e+04
 1  2 -1.568766743118e+05
 1  3  2.244723313774e+04
 1  4  1.170567618806e+03
 1  9  4.141643958771e+01
 1 10  5.749621827401e+01
 1 11  7.473412020047e+01
 1 12  9.368307662762e+01
 1 13  1.141186792648e+02
 1 14  1.355785950045e+02
 1 15  1.579014975975e+02
 1 16  1.808323895968e+02
 1 17  2.039866119123e+02
 1 18  2.268179783650e+02
 1 19  2.485734878014e+02
 1 20  2.682320595168e+02
 1 21  2.844469124910e+02
 1 22  2.942990030524e+02
 1 23  2.979013821342e+02
 1 24  2.949074380588e+02
 1 25  2.872847875827e+02
 1 26  2.775336012936e+02
 1 27  2.622563393877e+02
 1 28  2.401769708199e+02
 1 29  2.148898206603e+02
 1 30  1.872582448118e+02
 1 31  1.523925897843e+02
 1 32  1.315691525724e+02
 1 33  1.303639170658e+02
 1 34  1.301592140752e+02
 1 35  1.269455011741e+02
 1 36  1.003119053825e+02
 1 37  5.060237516670e+01
 1 38  1.803251728564e+01
 1 39  6.366152915675e+00
 2  2  4.354804363464e+06
 2  3 -7.962823853468e+05
 2  4 -4.172334386855e+05
 2  9 -1.188425614047e+04
 2 10 -1.157928658292e+04
 2 11 -1.124576283634e+04
 2 12 -1.087846031682e+04
 2 13 -1.047726283714e+04
 2 14 -1.004359409281e+04
 2 15 -9.576426638237e+03
 2 16 -9.074889824452e+03
 2 17 -8.538350349564e+03
 2 18 -7.966387041960e+03
 2 19 -7.358787131693e+03
 2 20 -6.715610150496e+03
 2 21 -6.037053075670e+03
 2 22 -5.387890901793e+03
 2 23 -4.764033274474e+03
 2 24 -4.046921159796e+03
 2 25 -3.416440761925e+03
 2 26 -2.940994504375e+03
 2 27 -2.460943908269e+03
 2 28 -1.979488202565e+03
 2 29 -1.556235411981e+03
 2 30 -1.215200292944e+03
 2 31 -8.859204277047e+02
 2 32 -7.030473635343e+02
 2 33 -6.784652532352e+02
 2 34 -6.589071420552e+02
 2 35 -6.227081866251e+02
 2 36 -4.772428034362e+02
 2 37 -2.359669262736e+02
 2 38 -8.321440800525e+01
 2 39 -2.846154638523e+01
 3  3  1.502892951241e+05
 3  4  7.844349654061e+04
 3  9  2.234721507309e+03
 3 10  2.178178236462e+03
 3 11  2.116324558421e+03
 3 12  2.048213726268e+03
 3 13  1.973763832287e+03
 3 14  1.893153395462e+03
 3 15  1.806112974207e+03
 3 16  1.712372437830e+03
 3 17  1.611669767482e+03
 3 18  1.503740054363e+03
 3 19  1.388308753161e+03
 3 20  1.265100186862e+03
 3 21  1.133810110229e+03
 3 22  1.007865965859e+03
 3 23  8.865664273691e+02
